,value__standard_deviation,value__variance,value__root_mean_square,value__maximum,value__absolute_maximum,value__minimum
82,0.0108801408369917,0.0001183774646327,0.0108802497897712,0.1350708,0.1490479,-0.1490479
83,0.0132470062528737,0.0001754831746636,0.0132470122301123,0.09674072,0.09674072,-0.0670166
84,0.0275134912076932,0.0007569921984358,0.0275134912117814,0.2634277,0.2634277,-0.1625977
85,0.0276206665409387,0.0007629012201657,0.0276206761508756,0.1374512,0.1822205,-0.1822205
86,0.0160608514814207,0.0002579509503082,0.0160608788400922,0.1341248,0.1341248,-0.1315308
87,0.0212773990417756,0.0004527277099829,0.0212774253620544,0.3766174,0.3766174,-0.3580322
88,0.0130302216279123,0.0001697866756725,0.0130302506825606,0.1502991,0.1502991,-0.08135986
89,0.0611503443786896,0.0037393646176323,0.0611503470890986,0.5655212,0.5655212,-0.3894653
90,0.0657906721500497,0.0043284125419553,0.0657906779978459,0.5205078,0.6013794,-0.6013794
91,0.09062627719743,0.0082131221186654,0.090626277224462,0.5755005,0.630127,-0.630127
92,0.0270651233152346,0.0007325209000688,0.0270651387293715,0.164093,0.2026978,-0.2026978
93,0.0296456780401666,0.0008788662264612,0.0296456781275355,0.1766663,0.2322998,-0.2322998
94,0.0850401015323211,0.0072318188686274,0.0850404375890721,0.6880798,0.6880798,-0.4131775
95,0.021231618289218,0.000450781615179,0.0212316346802566,0.1394958,0.1394958,-0.1094666
96,0.0300916189791429,0.0009055055327859,0.0300916286981404,0.3605347,0.3605347,-0.2086792
97,0.0072728511156561,5.289436335050054e-05,0.0072728799635779,0.08288574,0.08288574,-0.08215332
98,0.0216461533558033,0.0004685559551029,0.0216461740746582,0.2279663,0.2279663,-0.1969299
99,0.0214838821949546,0.0004615571941666,0.0214839143743116,0.1689758,0.1689758,-0.1412048
100,0.0069073670614583,4.771171972171948e-05,0.0069074033228664,0.07565308,0.07748413,-0.07748413
101,0.0318409517995949,0.0010138462115041,0.0318409587561425,0.1808777,0.240509,-0.240509
102,0.0919979111513514,0.0084636156562119,0.0919979170108422,0.5306396,0.6418152,-0.6418152
103,0.068441570275146,0.0046842485417277,0.0684415746802544,0.6576538,0.6576538,-0.4263916
104,0.046381946297934,0.0021512849423844,0.0463819579820344,0.2434998,0.2746887,-0.2746887
105,0.137396151788873,0.018877702526391,0.1373961542795712,0.9555664,1.0,-1.0
106,0.0198934958091327,0.0003957511755079,0.019893527152022,0.1601563,0.1859131,-0.1859131
107,0.0239783673143439,0.0005749620990615,0.0239783912876481,0.2302551,0.2302551,-0.1209717
108,0.0470476715644694,0.0022134833996381,0.0470476769739495,0.3603516,0.5924072,-0.5924072
109,0.1257155000650583,0.0158043869566076,0.1257155049409659,0.9999695,1.0,-1.0
110,0.013143738347951,0.0001727578577593,0.0131446441380224,0.1448364,0.1448364,-0.08813477
111,0.0336679690322818,0.0011335321387586,0.0336679720720639,0.3678894,0.3678894,-0.2514954
112,0.0222592076884394,0.000495472326917,0.022259230630724,0.1115417,0.1115417,-0.1026306
113,0.0794460026465754,0.0063116673365196,0.0794460327518175,0.5103455,0.5645142,-0.5645142
114,0.0217947943027022,0.0004750130586971,0.0217948430872126,0.1272583,0.1272583,-0.1267395
115,0.0557415811026671,0.0031071238638252,0.0557416190422739,0.3200073,0.3815613,-0.3815613
116,0.0412488820589785,0.0017014702711155,0.041248907657119,0.2971497,0.2971497,-0.2879944
117,0.0082630350073047,6.827774753194339e-05,0.0082630630356195,0.037323,0.08001709,-0.08001709
118,0.0587115534002846,0.0034470465026744,0.058711585127328,0.4291687,0.4320374,-0.4320374
119,0.0144184588003139,0.0002078919541763,0.0144184857663066,0.1091919,0.1231384,-0.1231384
120,0.0149225952805633,0.0002226838499074,0.0149226615967952,0.1105347,0.1105347,-0.08740234
121,0.0403960071715706,0.0016318373954055,0.0403960147132559,0.2277832,0.2277832,-0.2220154
122,0.0158991491213173,0.0002527829427818,0.0158991591315366,0.1529541,0.1529541,-0.136322
123,0.0229467207799526,0.0005265519945531,0.0229467336695854,0.1609497,0.1982117,-0.1982117
124,0.0232029366230341,0.0005383762679325,0.0232030298000205,0.1635742,0.2082825,-0.2082825
125,0.0172018609917436,0.0002959040215792,0.017201912385792,0.1265259,0.1265259,-0.1167603
126,0.024984230180874,0.0006242117577308,0.024984239176159,0.208252,0.208252,-0.2072754
127,0.0178992415502218,0.0003203828480731,0.0178992424209579,0.1067505,0.1235657,-0.1235657
128,0.0115133355656313,0.0001325568958468,0.0115144593231959,0.081604,0.081604,-0.06817627
129,0.1258816467736908,0.0158461889944562,0.1258816569646915,0.9999695,1.0,-1.0
130,0.1760913330203114,0.0310081575648702,0.1760916166102476,0.9999695,1.0,-1.0
131,0.0724482244188223,0.00524874522144,0.0724482387903532,0.7429199,0.7429199,-0.494873
132,0.0354476908598826,0.0012565387872978,0.0354477099213462,0.2382507,0.3184814,-0.3184814
133,0.0131778986502793,0.000173657012837,0.0131779708066865,0.06680298,0.06680298,-0.06314087
134,0.0429638160926401,0.0018458894932422,0.0429638383752679,0.2573853,0.30896,-0.30896
135,0.0354094277314441,0.0012538275722683,0.0354094353718629,0.2113037,0.2113037,-0.2105408
136,0.1809995352371691,0.0327608317560712,0.1809995625583573,0.9999695,1.0,-1.0
137,0.0162310649330403,0.0002634474688605,0.0162311099249475,0.09634399,0.09634399,-0.0657959
138,0.0399399462942861,0.0015951993099904,0.0399399463939156,0.2902832,0.2948608,-0.2948608
139,0.0342450012955296,0.0011727201137308,0.0342450713639617,0.2915955,0.2915955,-0.2533875
140,0.021911182331145,0.0004800999111486,0.0219112206201597,0.3110352,0.3110352,-0.2227783
141,0.1870669545960677,0.0349940455018472,0.1870669687498244,0.9999695,1.0,-1.0
142,0.0495066371755922,0.0024509071244357,0.0495066385925427,0.4043579,0.4043579,-0.3244019
143,0.0197106621705444,0.0003885102032013,0.0197106978094669,0.1573486,0.1573486,-0.1124878
144,0.0563911949825968,0.0031799668715652,0.0563912004923512,0.9244385,0.9244385,-0.8457947
145,0.0776167931399955,0.0060243665773368,0.07761679588279,0.6578979,0.6578979,-0.6106873
146,0.0325456214188674,0.0010592174735402,0.0325456248916006,0.2054138,0.2426147,-0.2426147
147,0.0354395071410507,0.0012559586664005,0.0354395296652172,0.3891602,0.3891602,-0.2505188
148,0.0543342731367964,0.002952213237304,0.0543342931171314,0.5173035,0.5173035,-0.4291077
149,0.0220320409105119,0.0004854108266824,0.0220320579073729,0.1852112,0.1934204,-0.1934204
150,0.0210933196020286,0.0004449281318333,0.0210933227867358,0.2062073,0.2062073,-0.1308899
151,0.0282620194622805,0.0007987417440863,0.0282620270696818,0.1873169,0.2068176,-0.2068176
152,0.0131334973704202,0.0001724887531788,0.0131335021888934,0.1036072,0.1036072,-0.09640503
153,0.0680089643192525,0.0046252192277773,0.0680093744789505,0.4935913,0.4935913,-0.391449
154,0.0076086998385011,5.789231323240688e-05,0.0076107970022521,0.04986572,0.08172607,-0.08172607
155,0.0216491788819814,0.000468686946264,0.0216491789421445,0.1045227,0.1045227,-0.1045227
156,0.0580177895659534,0.0033660639061192,0.0580178610214017,0.4151611,0.4151611,-0.3506775
157,0.0501858513154311,0.0025186196722545,0.0501859118715077,0.3710327,0.3849182,-0.3849182
158,0.0296621970444573,0.0008798459335042,0.0296621974218444,0.2230835,0.2230835,-0.2213135
159,0.0204991445631162,0.0004202149278195,0.0204991457903708,0.08361816,0.08361816,-0.0826416
160,0.0385320803246669,0.0014847212141465,0.0385320837596253,0.3721619,0.3721619,-0.2571106
161,0.0953391018375926,0.0090895443391988,0.0953391031771166,0.8247681,0.8247681,-0.6145325
162,0.0251794445119351,0.0006340044259296,0.0251794445320417,0.2252197,0.2252197,-0.1640015
163,0.0151146940587505,0.0002284539764896,0.0151147461597343,0.1017151,0.1209412,-0.1209412
164,0.0477260158110732,0.0022777725851988,0.0477268714180999,0.3015747,0.459259,-0.459259
165,0.0358776752158696,0.0012872075788954,0.0358776763193664,0.4750061,0.519104,-0.519104
166,0.0277869598943916,0.0007721151401725,0.0277869600709526,0.1951599,0.2197876,-0.2197876
167,0.0500477086805546,0.0025047731441736,0.050047709015927,0.3688354,0.4060974,-0.4060974
168,0.0283856348396368,0.0008057442652492,0.0283856695557362,0.1603699,0.1992493,-0.1992493
169,0.0879773944138111,0.0077400219278432,0.087977395230358,0.9504395,0.9504395,-0.7054138
170,0.06918235190396,0.0047861978149633,0.0691823521013088,0.400177,0.4304199,-0.4304199
171,0.012355548072602,0.0001526595681743,0.0123556068971359,0.09091187,0.1529236,-0.1529236
172,0.0140809030537259,0.0001982718308084,0.0140809466313978,0.08200073,0.1542969,-0.1542969
173,0.0525650779168153,0.0027630874164008,0.052565083304697,0.4467773,0.7019653,-0.7019653
174,0.0607459037846246,0.0036900648266108,0.0607459038737473,0.4620056,0.5050049,-0.5050049
175,0.049606211126471,0.002460776182324,0.0496064058948061,0.3785706,0.3785706,-0.3521729
